"hanzi","pinyin","translation","alt_translations","tags"
"担心","dān xīn","anxieux","anxieux; s'inquiéter",""
"蛋糕","dàn gāo","gâteau","gâteau",""
"当然","dāng rán","bien sûr","bien sûr; sans aucun doute",""
"地","de","particule structurelle","particule structurelle",""
"灯","dēng","lampe","lampe; lanterne",""
"地方","dì fang","région","région; régional",""
"地铁","dì tiě","métro","métro",""
"地图","dì tú","carte","carte; plan",""
"电梯","diàn tī","ascenseur","ascenseur",""
"电子邮件","diàn zǐ yóu jiàn","email","email",""
"东","dōng","est","est",""
"冬","dōng","hiver","hiver",""
"动物","dòng wù","animal","animal",""
"短","duǎn","court","court; bref",""
"段","duàn","paragraphe","paragraphe; section",""
"锻炼","duàn liàn","exercice physique","exercice physique",""
"多么","duō me","comme c'est (adjectif)","comme c'est (adjectif); comme c'est",""
"饿","è","avoir faim","avoir faim",""
"耳朵","ěr duo","oreille","oreille",""
"发","fā","envoyer","envoyer; publier",""
"发烧","fā shāo","avoir de la fièvre","avoir de la fièvre",""
"发现","fā xiàn","découvrir","découvrir",""
"方便","fāng biàn","pratique","pratique; commode",""
"放","fàng","libérer","libérer; mettre",""
"放心","fàng xīn","se détendre","se détendre; apaiser",""
"分","fēn","diviser","diviser; séparer",""
"复习","fù xí","réviser","réviser",""
"附近","fù jìn","à proximité","à proximité; voisin; riverain",""
"干净","gān jìng","propre","propre; net",""
"感冒","gǎn mào","rhume","rhume; attraper froid",""
"感兴趣","gǎn xìng qù","être intéressé","être intéressé",""
"刚才","gāng cái","juste maintenant","juste maintenant",""
"个子","gè zi","stature","stature; hauteur",""
"根据","gēn jù","selon","selon; basé sur",""
"跟","gēn","avec","avec; vers",""
"更","gèng","encore plus","encore plus",""
"公斤","gōng jīn","kilogramme","kilogramme",""
"公园","gōng yuán","parc","parc",""
"故事","gù shi","histoire","histoire; recit",""
"刮风","guā fēng","être venteux","être venteux",""
"关","guān","fermer","fermer; éteindre",""
"关系","guān xì","relations","relations",""
"关心","guān xīn","s'occuper de","s'occuper de",""
"关于","guān yú","concernant","concernant",""
"国家","guó jiā","pays","pays; nation; etat",""
"过","guò","traverser","traverser; passer",""
"过去","guò qu","passé","passé; ancien",""
"还是","hái shì","ou bien","ou bien; cependant",""
"害怕","hài pà","avoir peur","avoir peur",""
"黑板","hēi bǎn","tableau noir","tableau noir",""
"后来","hòu lái","par la suite","par la suite; plus tard",""
"护照","hù zhào","passeport","passeport",""
"花","huā","fleur","fleur",""
"画","huà","peindre","peindre; peinture",""
"坏","huài","mauvais","mauvais; gâté",""
"欢迎","huān yíng","accueillir","accueillir",""
"环境","huán jìng","environnement","environnement",""
"还","huán","revenir","revenir; retourner",""
"换","huàn","changer","changer; échange",""
"黄河","huáng hé","Fleuve Jaune","Fleuve Jaune",""
"回答","huí dá","répondre","répondre",""
"会议","huì yì","réunion","réunion",""
"或者","huò zhě","ou","ou; peut-être",""
"几乎","jī hū","presque","presque; pratiquement",""
"机会","jī huì","chance","chance; occasion",""
"极","jí","extrêmement","extrêmement",""
"季节","jì jié","saison","saison",""
"记得","jì de","se souvenir","se souvenir",""
"检查","jiǎn chá","inspection","inspection; examiner",""
"简单","jiǎn dān","simple","simple",""
"健康","jiàn kāng","santé","santé; sain",""
"见面","jiàn miàn","rencontrer","rencontrer; voir",""
"讲","jiǎng","raconter","raconter; parler",""
"教","jiào","enseigner","enseigner",""
"脚","jiǎo","pied","pied; jambe",""
"角","jiǎo","corne","corne; unité monétaire",""
"接","jiē","recevoir","recevoir; répondre",""
"街道","jiē dào","rue","rue",""
"结婚","jié hūn","se marier","se marier",""
"结束","jié shù","terminer","terminer; finir; achever",""
"节目","jié mù","programme","programme",""
"节日","jié rì","vacances","vacances; festival",""
"解决","jiě jué","résoudre","résoudre",""
"借","jiè","prêter","prêter; emprunter",""
"经常","jīng cháng","souvent","souvent; constamment",""
"经过","jīng guò","passer par","passer par",""
"经理","jīng lǐ","manager","manager; directeur",""
"久","jiǔ","long temps","long temps; durée",""
"旧","jiù","vieux","vieux; ancien",""
"句子","jù zi","phrase","phrase",""
"决定","jué dìng","décider","décider",""
"可爱","kě ài","mignon","mignon; aimable",""
"渴","kě","assoiffé","assoiffé",""
"刻","kè","instant","instant; trimestre",""
"客人","kè rén","visiteur","visiteur; invité",""
"空调","kōng tiáo","climatisation","climatisation",""
"口","kǒu","bouche","bouche",""
"哭","kū","pleurer","pleurer",""
"裤子","kù zi","pantalon","pantalon",""
"筷子","kuài zi","baguettes (ustensile)","baguettes (ustensile); baguettes",""
"蓝","lán","bleu","bleu",""
"老","lǎo","vieux","vieux; vénérable; ancien",""
"离开","lí kāi","partir","partir; quitter",""
"礼物","lǐ wù","cadeau","cadeau; présent; don",""
"历史","lì shǐ","l'Histoire","l'Histoire",""
"脸","liǎn","visage","visage",""
"练习","liàn xí","exercice","exercice; entrainement",""
"辆","liàng","classificateur des véhicules","classificateur des véhicules",""
"聊天","liáo tiān","discuter","discuter; bavarder",""
"了解","liǎo jiě","comprendre","comprendre; saisir; cerner",""
"邻居","lín jū","voisin","voisin; riverain",""
"留学","liú xué","étudier à l'étranger","étudier à l'étranger",""
"楼","lóu","immeuble","immeuble",""
"绿","lǜ","vert","vert",""
"马","mǎ","cheval","cheval",""
"马上","mǎ shàng","tout de suite","tout de suite",""
"满意","mǎn yì","satisfait","satisfait; heureux; content; comble; joyeux",""
"帽子","mào zi","chapeau","chapeau",""
"米","mǐ","riz","riz; mètre",""
"面包","miàn bāo","pain","pain",""
"明白","míng bai","comprendre","comprendre; saisir; cerner",""
"拿","ná","tenir","tenir; saisir",""
"奶奶","nǎi nai","grand-mère","grand-mère",""
"南","nán","sud","sud",""
"难","nán","difficile","difficile; ardu; complexe",""
"难过","nán guò","triste","triste; affligé; malheureux",""
"年级","nián jí","grade","grade; niveau",""
"年轻","nián qīng","jeune","jeune",""
"鸟","niǎo","oiseau","oiseau",""
"努力","nǔ lì","grand effort","grand effort; s'efforcer",""
"爬山","pá shān","escalader une montagne","escalader une montagne",""
"盘子","pán zi","plateau","plateau",""
"胖","pàng","gras","gras; dodu",""
"啤酒","pí jiǔ","bière","bière",""
"皮鞋","pí xié","chaussures en cuir","chaussures en cuir",""
"瓶子","píng zi","bouteille","bouteille",""
"其实","qí shí","en fait","en fait; en réalité",""
"其他","qí tā","les autres","les autres",""
"奇怪","qí guài","étrange","étrange",""
"骑","qí","monter (vélo)","monter (vélo); monter",""
"起飞","qǐ fēi","décoller","décoller",""
"起来","qǐ lái","se lever","se lever",""
"清楚","qīng chu","clair","clair; distinct",""
"请假","qǐng jià","demander du temps libre","demander du temps libre",""
"秋","qiū","automne","automne",""
"裙子","qún zi","jupe","jupe",""
"然后","rán hòu","alors","alors; après",""
"热情","rè qíng","chaleureux","chaleureux; enthousiaste",""
"认为","rèn wéi","croire","croire; penser",""
"认真","rèn zhēn","conscience","conscience; grave",""
"容易","róng yì","facile","facile; aise; simple",""
"如果","rú guǒ","si","si; au cas où",""
"伞","sǎn","parapluie","parapluie",""
"上网","shàng wǎng","surfer sur Internet","surfer sur Internet",""
"声音","shēng yīn","voix","voix; son",""
"生气","shēng qì","en colère","en colère",""
"世界","shì jiè","monde","monde",""
"试","shì","essayer","essayer; tester",""
"瘦","shòu","mince","mince; maigre",""
"叔叔","shū shu","oncle","oncle",""
"舒服","shū fu","confortable","confortable",""
"数学","shù xué","mathématiques","mathématiques",""
"树","shù","arbre","arbre",""
"刷牙","shuā yá","se brosser les dents","se brosser les dents",""
"双","shuāng","paire","paire; deux",""
"水平","shuǐ píng","niveau","niveau",""
"司机","sī jī","chauffeur","chauffeur; conducteur",""
"太阳","tài yáng","soleil","soleil",""
"特别","tè bié","en particulier","en particulier; spécial",""
"疼","téng","faire mal","faire mal; douloureux",""
"提高","tí gāo","augmenter","augmenter",""
"体育","tǐ yù","sport","sport; activite physique; exercice",""
"甜","tián","sucré","sucré",""
"条","tiáo","bande","bande; article",""
"同事","tóng shì","collègue","collègue",""
"同意","tóng yì","se mettre d'accord","se mettre d'accord; approuver",""
"头发","tóu fa","cheveux","cheveux",""
"突然","tū rán","soudain","soudain; brusque",""
"图书馆","tú shū guǎn","bibliothèque","bibliothèque",""
"腿","tuǐ","jambe","jambe",""
"完成","wán chéng","finir","finir; accomplir",""
"碗","wǎn","bol","bol",""
"万","wàn","dix mille","dix mille",""
"忘记","wàng jì","oublier","oublier",""
"为","wèi","à cause de","à cause de; pour",""
"为了","wèi le","afin de","afin de",""
"位","wèi","position","position; classificateur",""
"文化","wén huà","culture","culture; civilisation",""
"西","xī","ouest","ouest",""
"习惯","xí guàn","habitude","habitude; coutume",""
"洗手间","xǐ shǒu jiān","toilettes","toilettes",""
"洗澡","xǐ zǎo","prendre une douche","prendre une douche",""
"夏","xià","été","été",""
"先","xiān","d'abord","d'abord; antérieurement",""
"相信","xiāng xìn","croire","croire",""
"香蕉","xiāng jiāo","banane","banane",""
"像","xiàng","ressembler","ressembler",""
"向","xiàng","direction","direction; vers",""
"小心","xiǎo xīn","faire attention","faire attention",""
"校长","xiào zhǎng","directeur (école)","directeur (école); directeur",""
"新闻","xīn wén","nouvelles","nouvelles",""
"新鲜","xīn xiān","frais","frais",""
"信用卡","xìn yòng kǎ","carte de crédit","carte de crédit",""
"行李箱","xíng lǐ xiāng","valise","valise",""
"熊猫","xióng māo","panda","panda",""
"需要","xū yào","besoin","besoin; demander; necessite; solliciter; requerir",""
"选择","xuǎn zé","choisir","choisir; selectionner",""
"要求","yāo qiú","demander","demander; exiger; solliciter; requerir",""
"爷爷","yé ye","grand-père","grand-père",""
"一直","yī zhí","droit","droit; toujours; constamment; sans cesse",""
"一定","yí dìng","sûrement","sûrement",""
"一共","yī gòng","tout à fait","tout à fait",""
"一会儿","yī huì er","un moment","un moment",""
"一样","yī yàng","le même","le même",""
"以前","yǐ qián","avant","avant; autrefois",""
"一般","yī bān","ordinaire","ordinaire; général",""
"一边","yī biān","d'un côté","d'un côté; de part et d'autre",""
"音乐","yīn yuè","musique","musique; melodie",""
"银行","yín háng","banque","banque; etablissement bancaire",""
"饮料","yǐn liào","boisson","boisson; breuvage",""
"应该","yīng gāi","devrait","devrait",""
"影响","yǐng xiǎng","influence","influence; effet",""
"用","yòng","utiliser","utiliser; employer",""
"游戏","yóu xì","jeu","jeu",""
"有名","yǒu míng","célèbre","célèbre; renomme; connu",""
"又","yòu","à nouveau","à nouveau",""
"遇到","yù dào","rencontrer","rencontrer",""
"元","yuán","Yuan (monnaie)","Yuan (monnaie); Yuan",""
"愿意","yuàn yì","souhaiter","souhaiter; être prêt",""
"月亮","yuè liang","lune","lune",""
"越","yuè","dépasser","dépasser",""
"站","zhàn","station","station",""
"张","zhāng","classificateur des feuilles","classificateur des feuilles",""
"长","zhǎng","aîné","aîné; grandir",""
"着急","zháo jí","s'inquiéter","s'inquiéter",""
"照顾","zhào gu","prendre soin","prendre soin",""
"照片","zhào piàn","photo","photo",""
"照相机","zhào xiàng jī","appareil photo","appareil photo",""
"只","zhǐ","seulement","seulement",""
"只有…才…","zhǐ yǒu …cái …","seulement si… alors…","seulement si… alors…",""
"中间","zhōng jiān","entre les deux","entre les deux",""
"中文","zhōng wén","langue chinoise","langue chinoise",""
"终于","zhōng yú","enfin","enfin",""
"种","zhǒng","genre","genre; sorte",""
"重要","zhòng yào","important","important; essentiel; capital",""
"周末","zhōu mò","week-end","week-end",""
"主要","zhǔ yào","principal","principal",""
"注意","zhù yì","prêter attention","prêter attention",""
"自己","zì jǐ","soi-même","soi-même",""
"自行车","zì xíng chē","vélo","vélo",""
"总是","zǒng shì","toujours","toujours; constamment; sans cesse",""
"嘴","zuǐ","bouche","bouche",""
"最后","zuì hòu","final","final; dernier; ultime",""
"最近","zuì jìn","récent","récent; récemment; nouveau; dernier",""
"作业","zuò yè","devoir (école)","devoir (école); devoir",""
