hanzi,pinyin,translation,alt_translations,tags
人,rén,personne,"humain; homme; être humain; individu; mortel; créature; peuple",
认识,rèn shi,connaître,"reconnaître; identifier; faire connaissance; lier amitié; compréhension",
三,sān,trois,"3; nombre trois; triple; triangulaire; groupe de trois",
商店,shāng diàn,magasin,"boutique; petit magasin; lieu de commerce; établissement de vente; point de vente",
上,shàng,sur,"au-dessus; monter; précédent; premier; haut; grade; direction ascendante",
上午,shàng wǔ,matin,"avant-midi; matin (avant midi); lever du jour; aurore; matinée",
少,shǎo,peu,"peu nombreux; réduit; insuffisant; manque; jeune; moins; rare",
谁,shéi,qui ?,"quelle personne; quiconque; n'importe qui; interrogatif; indéfinite",
什么,shén me,quoi ?,"quelque chose; chose; affaire; interrogatif; quoi; any",
十,shí,dix,"10; nombre dix; décade; périodes; une dizaine",
时候,shí hou,temps,"moment; époque; période; heure; saison; circonstance; opportunité",
是,shì,être,"verbe copulatif; vérité; correction; affirmation; exactitude; justesse",
书,shū,livre,"ouvrage écrit; volume; tome; traité; manuel; publication; literature",
水,shuǐ,eau,"liquide; boisson; humide; aqueux; cours d'eau; rivière; argent",
水果,shuǐ guǒ,fruit,"produit de l'arbre; fruits variés; nourriture sucrée; douceur; résultat",
睡觉,shuì jiào,dormir,"se reposer; reposer; prendre du sommeil; fermer l'œil; sommeiller",
说,shuō,parler,"dire; exprimer; raconter; discours; parole; discuter; exposé",
四,sì,quatre,"4; nombre quatre; quadruple; carré; groupe de quatre",
岁,suì,âge,"année d'âge; durée de vie; an; anniversary; période; génération",
他,tā,il,"lui; tierce personne masculine; prononcé; personnel; third person",
她,tā,elle,"tierce personne féminine; third person female; prononcé féminin",
太,tài,trop,"excessivement; beaucoup trop; très outre mesure; excès; grand",
天气,tiān qì,temps,"conditions météologiques; climat; saison; beau temps; mauvais temps, météo",
听,tīng,écouter,"ouïr; prêter l'oreille; audition; obéir; accepter; faire attention",
同学,tóng xué,camarade de classe,"condisciple; collègue d'étude; étudiant du même établissement; schoolmate",
喂,wèi,allô,"hé; interjection; appel; salutation; allô; hello",
我,wǒ,je,"moi; personnel; first person; self; moi-même; prononcé direct",
我们,wǒ men,nous,"nous-mêmes; prononcé collectif; première personne pluriel; nous autres",
五,wǔ,cinq,"5; nombre cinq; quintuple; pentagone; groupe de cinq",
喜欢,xǐ huan,aimer bien,"apprécier; goûter; trouver bonne; avoir du plaisir à; se réjouir",
下,xià,vers le bas,"descendre; en bas; inférieur; période suivante; futur; prochain",
下午,xià wǔ,après-midi,"après-midi; après le midi; seconde moitié du jour; PM",
下雨,xià yǔ,pleuvoir,"chute de pluie; pluie; mouiller; précipitation; intempéries; ondée",
先生,xiān sheng,monsieur,"gentleman; mari; master; sage; professeur; docteur; señor",
现在,xiàn zài,maintenant,"actuellement; en ce moment; immédiatement; instantly; right now",
想,xiǎng,penser,"vouloir; désirer; intention; réflexion; croyance; supposer; imaginer",
小,xiǎo,petit,"jeune; plus petit; jeune enfant; faible; humble; insignifiant",
小姐,xiǎo jie,mademoiselle,"jeune fille; demoiselle; fille; miss; mlle; hôtesse; servante",
些,xiē,quelques,"certains; un peu; plusieurs; quelques-uns; some; a few",
写,xiě,écrire,"noter; documenter; graphie; composition; rédaction; inscription; script",
谢谢,xiè xie,merci,"gratitude; merci bien; thanks; reconnaissance; gré; merci beaucoup",
星期,xīng qī,semaine,"période de sept jours; weekly; hebdomadaire; jour de la semaine",
学生,xué sheng,étudiant,"apprenant; élève; disciple; schoolchild; pupil; apprenti",
学习,xué xí,apprendre,"étudier; instruction; pratique; training; exerciser; assimilation",
学校,xué xiào,école,"établissement d'enseignement; institution pédagogique; academy; lieu d'étude",
一,yī,un,"1; nombre un; unique; singular; premier; sole; unified",
一点儿,yī diǎn er,un petit peu,"petit portion; minuscule; très petit; insignifiant; quelque peu",
医生,yī shēng,médecin,"docteur; physician; praticien; clinicien; homme de science",
医院,yī yuàn,hôpital,"établissement sanitaire; établissement médical; institution de santé; lieu de soin",
衣服,yī fu,vêtement,"habit; clothing; apparel; robe; costume; tenue; garde-robe",
椅子,yǐ zi,chaise,"siège; fauteuil; chaise à dossier; banc; pupitre; trône",
有,yǒu,avoir,"posséder; existence; présence; disposition; richesse; être pourvu",
月,yuè,mois,"lunar month; lunar cycle; moonlight; 月亮 moon; cycle lunaire",
再见,zài jiàn,au revoir,"à bientôt; adieu; farewell; goodbye; see you; salutation finale",
在,zài,être à,"se trouver; location; en train de; position; présence; progressive marker",
怎么,zěn me,comment ?,"de quelle manière; pourquoi; par quel moyen; comment est-il possible",
怎么样,zěn me yàng,comment est-ce ?,"comment est; how about; what is it like; pourquoi donc",
这,zhè,ce,"ceci; this; celui-ci; this side; proximal; current; présent",
中国,zhōng guó,Chine,"nation chinoise; Middle Kingdom; pays du Milieu; empire du centre",
中午,zhōng wǔ,midi,"midday; noon; zénith; middle of day; twelve oclock; meridian",
住,zhù,habiter,"demeurer; loger; rester; séjourner; résider; habitation; demeure",
桌子,zhuō zi,table,"meuble pour manger; table de travail; tableau; surface plane",
字,zì,caractère,"lettre; signe d'écriture; glyph; caractères chinois; morpheme",
昨天,zuó tiān,hier,"day before today; previous day; past day; recently; précédent",
做,zuò,faire,"produire; créer; fabriquer; accomplir; effectuer; réaliser",
坐,zuò,s'asseoir,"prendre place; être assis; voyager; utiliser un transport; position assise",
